All,Tümü
"Invitation to Order Conversions Quantity Limit","Sipariş Dönüşümleri Miktar Sınırı için davet"
"Invitation Conversion to Order Reward","Sipariş Ödülü için Davetiye Dönüşümü"
"Review Submission","Gönderi İnceleme"
"After approval by administrator.","Yönetici tarafından onaylandıktan sonra."
"Rewarded Reviews Submission Quantity Limit","Gönderim Miktarı Sınırı Ödüllü İncelemeleri"
"Subscribe Customers by Default","Varsayılan olarak Abone Olan Müşteriler"
"Balance Update Email","Bakiye Güncelleme E-postası"
"Reward Points Expiry Warning Email","Ödül Puanları Bitiş Tarihi Uyarı E-postası"
"Expiry Warning Before (days)","Bitiş Tarihi Uyarıları (günler) Önce"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Hiçbir değer girilmemesi veya son kullanım tarihinden büyük bir değer girilmesi uyarı bildirimini devre dışı bırakır."
"Reward Points Rates","Ödül Puanı Oranları"
"Amount Balance","Bakiye Tutarı"
"Add Reward Points","Ödül Puanı Ekle"
"Check out now and earn %1 for this order.","Siparişinizi şimdi verin ve bu siparişten %1 kazanın."
"Create an account on our site now and earn %1.","Hemen sitemizden bir hesap oluşturun ve kazanın %1."
"Subscribe to our newsletter now and earn %1.","Bültenimize abone olun ve %1 kazanın."
"Send this invitation now and earn %s when your invitee signs up on our site.","Davetiyeniz sitemize kaydolduğunda şimdi bu davetiye gönderin ve % s kazanın."
"You can reward up to %s invitee registration(s).","%s kadar davet kaydı(ları) için ödül alabilirsiniz."
"Earn %s for purchases your invitees make.","Davet ettiklerinizin yaptığı alışverişler için %s kazanın."
"You can reward up to %s invitee purchase(s).","%s kadar davet ettiklerinizin yaptığı satın alma(lar) için ödül alabilirsiniz."
"Submit a review now and earn %1 after the review is approved.","Şimdi bir inceleme yapın ve incelemeniz onaylandıktan sonra %1 kazanın."
"You can reward up to %1 new reviews(s).","%1 kadar yeni inceleme(ler) için ödül alabilirsiniz."
Return,İade
Returns,İadeler
"Create Returns","İade Oluştur"
"Select Items","Öğeleri seç"
"New Return Request","Yeni İade Talebi"
"Create New RMA for %1 in %2","Yeni RMA Oluştur %1 ve %2 için"
"Create New RMA for %1","Yeni RMA oluştur %1 için"
"Create New RMA","Yeni RMA oluştur"
"Please Select Order","Lütfen sipariş seçin"
"Grand Total (Base)","Genel Toplam (Temel)"
"Grand Total (Purchased)","Genel toplam (satın alınmış)"
"Are you sure you want to close this returns request?","Bu iade talebini kapatmak istediğinizden emin misiniz?"
"Return #%1 - %2","Dönüş #%1 - %2"
"RMA Item Details","RMA Öğesi Detayları"
"Submit Comment","Açıklama Gönder"
"Custom Value","Özel Değer"
"Print Shipping Label","Kargo Etiketini Yazdır"
"Show Packages","Paketleri Göster"
"Return Items","İade Ürünleri"
Returned,"Geri Dönen"
"Return Reason","İade nedeni"
"Item Condition","Ürün Durumu"
Resolution,Çözüm
Split,Bölünmüş
"Return Information","İade Bilgileri"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Seçilen RMA durum(lar)ını Kapat olarak değiştirmeyi seçtiniz. Devam etmek istediğine emin misin?"
"Return Item Attribute","Dönüş Öğesi Özelliği"
"Edit Return Item Attribute ""%1""","Dönüş Öğesi Özelliğini Düzenle ''%1''"
"New Return Item Attribute","Yeni Dönüş Öğesi Özelliği"
"Submit Returns","İade Gönder"
"Add Selected Product(s) to returns","Seçilen Ürün(leri) İadelere Ekle"
"Remaining Qty","Kalan miktar"
"Requested Qty","İstenen miktar"
"Reason to Return","İade Nedeni"
"Add Details","Detayları ekle"
"The wrong RMA was requested.","Yanlış RMA talep edildi."
"This is the wrong RMA order ID.","Bu, yanlış RMA sipariş kimliği."
"Invalid RMA","Geçersiz RMA"
"Please enter a valid message.","Lütfen geçerli bir mesaj girin."
"We cannot add the RMA history.","RMA geçmişini ekleyemiyoruz."
"Invalid order","Geçersiz Sipariş"
"We can't retrieve the product list right now.","Şu anda ürün listesini geri alamıyoruz."
"Please specify a carrier.","Lütfen bir taşıyıcı belirtin."
"Please enter a tracking number.","Lütfen bir takip numarası girin."
"We cannot initialize an RMA to add a tracking number.","Bir takip numarası eklemek için RMA başlatamayız."
"We can't add a message right now.","Şu anda bir mesaj ekleyemiyoruz."
"New Return","Yeni İade"
"%1 RMA(s) cannot be closed","%1 RMA (lar) kapatılamıyor"
"We cannot close the RMA request(s).","RMA istek(ler) ini kapatamıyoruz."
"%1 RMA (s) have been closed.","%1 RMA (lar) kapatıldı."
"You created a shipping label.","Bir sevkiyat etiketi oluşturdunuz."
"We can't create a shipping label right now.","Şu anda bir gönderim etiketi oluşturamıyoruz."
"Manage RMA Item Attributes","RMA Öğe Özelliklerini Yönet"
"You deleted the RMA attribute.","RMA özniteliğini sildiniz."
"We can't delete the RMA item attribute right now.","Şu anda RMA öğe özelliğini silemiyoruz."
"Edit Return Item Attribute","Dönüş Öğesi Özniteliğini Düzenle"
"Returns Attributes","Öznitelikleri Geri Getir"
"New Return Attribute","Yeni İade Özelliği"
"You saved the RMA item attribute.","RMA öğesi özelliğini kaydettiniz."
"Something went wrong while saving the RMA item attribute.","RMA öğesi özelliği kaydedilirken bir sorun oluştu."
"An attribute with the same code already exists.","Aynı koda sahip bir özellik zaten var."
"The wrong RMA item was requested.","Yanlış RMA öğesi talep edildi."
"We cannot display the item attributes.","Öğe özelliklerini görüntüleyemiyoruz."
"There are no applicable items for return in this order.","Bu sırada iade için uygulanabilir herhangi bir öğe yok."
"We don't recognize or support the file extension in shipment %1.","Sevkiyatındaki dosya uzantısını tanımıyoruz veya desteklemiyoruz. %1."
"Something went wrong creating a shipping label.","Gönderim etiketi oluştururken bir sorun oluştu."
"A quantity you're trying to add exceeds the number of products we shipped.","Eklemeye çalıştığınız miktar, gönderdiğimiz ürün sayısını aşıyor."
"Products should be added to package(s)","Paketlere eklenecek ürünler"
"Please enter a valid value.","Lütfen geçerli bir değer girin."
"This is the wrong RMA ID.","Bu, yanlış RMA Kimliğidir."
"We cannot display the available shipping methods.","Mümkün olan sevkiyat yöntemleri görüntülenemiyor."
"We cannot initialize an RMA to delete a tracking number.","Bir takip numarasını silmek için RMA başlatamayız."
"We can't delete the tracking number right now.","Şu anda izleme numarasını silemiyoruz."
"We can't save this RMA.","Bu RMA'yı kaydedemedik."
"You saved the RMA request.","RMA isteğini kaydettiniz."
"You did not email your customer. Please check your email settings.","Müşterinize e-posta göndermediniz. Lütfen e-posta ayarlarınızı kontrol edin."
"You submitted the RMA request.","RMA isteğini gönderdiniz."
"No items for bundle product","Paket ürünü için öğe yok"
"The wrong order ID or item ID was requested.","Yanlış sipariş kimliği veya öğe kimliği istendi."
"Shipping Labels are not allowed.","Kargo etiketlerine izin verilmiyor."
"Please select a valid carrier.","Lütfen geçerli bir taşıyıcı seçin."
"Please enter a valid tracking number.","Lütfen geçerli bir takip numarası girin."
"We can't add a label right now.","Şu anda bir etiket ekleyemiyoruz."
"You selected the wrong RMA.","Yanlış RMA'yı seçtiniz."
"We can't create a return transaction for order #%1.","Sipariş #%1 için iade işlemi oluşturulamıyor."
"You submitted Return #%1.","#%1 i iade ettiniz."
"We can't create a return right now. Please try again later.","Şu anda iade oluşturamıyoruz. Lütfen daha sonra tekrar deneyin."
"Create New Return","Yeni Dönüş Oluştur"
"We can't delete the label right now.","Şu anda etiketi silemiyoruz."
"Return #%1","#%1 iade et"
"Cannot add message.","Mesaj eklenemez."
"My Returns",Dönüşlerim
"Tracking Information","İzleme Bilgisi"
"Please check this order for errors.","Lütfen hata olmaması için bu siparişi kontrol edin."
"Contact Email Address","E-posta adresini girin"
"Could not save the RMA comment.","RMA öğe yorumu kaydedilmedi."
"Could not delete the RMA comment.","RMA öğe yorumu silinmedi."
"Only one RMA is available for printing","Yazdırma için sadece bir RMA kullanılabilir"
"Return # ","İade # "
"Return Date: ","İade tarihi:"
"Order # ","Sipariş #"
"Ordered: ","Sipariş: "
"Return Address:","İade Adresi:"
"There is an error in quantities for item %1.","%1 öğesindeki miktarlarda bir hata var."
"Authorized Qty","Yetkili Qty ler"
"Returned Qty","İade edilen miktar"
"Approved Qty","Onaylanan miktar"
"%1 for item %2 cannot be empty.","%2 öğesi için %1 boş bırakılamaz."
"You cannot return %1.","%1 iade edilemez."
"A quantity of %1 is greater than you can return.","%1 miktarı, geri dönebileceğinizden daha büyük."
"You entered an invalid type: ""%1"".","Geçersiz bir tür girdiniz: ""%1""."
"You entered an invalid email address: ""%1"".","Geçersiz bir e-posta adresi girdiniz: ""%1""."
"You entered an invalid hostname: ""%1""","Geçersiz bir hostname girdiniz: ""%1"""
"""%1"" is longer than allowed.","""%1"" izin verilen süreden uzun."
"Unknown service","Bilinmeyen hizmet"
"We can't save this RMA. No items were specified.","Bu RMA'yı kaydedemiyoruz. Hiçbir öğe belirtilmedi."
"Partially Authorized","Kısmen Yetkili"
"Return Received","Alınan İade"
"Return Partially Received","Kısmen Alınan İade"
"Partially Approved","Kısmen Onaylandı"
"Partially Rejected","Kısmen Reddedildi"
Denied,Reddedildi
"Processed and Closed","İşlendi ve Kapandı"
"This is the wrong RMA item status.","Bu, yanlış RMA öğe durumudur."
"We placed your Return request.","İade talebinizi verdik."
"We authorized your Return request.","İade talebinizi onayladık."
"We partially authorized your Return request.","İade talebinizi kısmen yetkilendirdik."
"We received your Return request.","İade talebinizi aldık."
"We partially received your Return request.","İade talebinizi kısmen aldık."
"We partially approved your Return request.","İade talebinizi kısmen onayladık."
"We partially rejected your Return request.","İade talebinizi kısmen reddettik."
"We closed your Return request.","İade talebinizi kapattık."
"We processed and closed your Return request.","İade isteğinizi işledik ve kapattık."
"ID cannot be an empty","Kimlik bilgisi boş olamaz"
"Requested entity doesn't exist","İstenen varlik yok"
"Could not save the RMA entity.","RMA öğe kaydı kaydedilmedi."
"Could not delete the RMA entity.","RMA hesabı silinemiyor."
"Please enter a valid comment.","Lütfen geçerli bir yorum girin."
"No such entity with %1 = %2, %3 = %4","Böyle bir varlık yok %1 = %2, %3 = %4"
"Invalid carrier: %1","Geçersiz taşıyıcı: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","Gönderim etiket(ler)inizi oluşturmak için daha fazla bilgiye ihtiyacımız var. Lütfen mağaza bilgilerinizi ve gönderim ayarlarınızı doğrulayın."
"No detail for number ""%1""","Numara detayı yok ''%1''"
"Shipment does not exists.","Sevkiyat mevcut değil."
"We can't load track with retrieving identifier right now.","Kurtarılan tanımlayıcı ile şu anda takip yürütemiyoruz."
"Could not save the RMA tracking.","RMA izleme kayıtı kaydedilmedi."
"Could not delete the RMA tracking.","RMA izleme kaydı silinmedi."
"No detail for number ""' . . '""","Numara detayı yok ""' . . '"""
"All Items","Tüm Ürünler"
"Individual Items","Kişisel Ürünler"
"Account &amp; Shipping Information","Hesap &amp; Nakliye Bilgisi"
"RMA Totals","RMA Toplam"
"Request Details","İstek Detayları"
"Customer Name","Müşteri Adı"
"RMA History","RMA geçmişi"
"Comment Text","Açıklama Metni"
"Visible on Storefront","Mağazada görünür"
"Customer Service","Müşteri Hizmetleri"
"Not Notified",Bildirilmemiş
"Return Address","İade Adresi"
"Order Shipping Address","Sipariş teslim adresi"
"Delete Line","Satırı sil"
"Customs Value","Özel Değer"
"Qty Ordered","Sipariş Edilen Miktar"
"Change shipping method.","Nakliye yöntemini değiştir."
"No authorized items or allowed shipping methods","Yetkili öğe yok veya gönderim yöntemlerine izin verilmiyor"
Carrier,Taşıyıcı
Number,Numara
"Create Shipping Label","Kargo Etiketi Oluştur"
"Enabled when authorized items require a new shipment.","Yetkili ürünler yeni bir sevkiyat gerektiğinde etkinleştirilir."
"Order &amp; Account Information","Sipariş &amp; Hesap Bilgileri"
"Return Totals","İade toplamları"
"Return Confirmation","İade Onayı"
"Email Returns Confirmation","E-posta İade Onayı"
"RMA Items Requested for","İstenen RMA Öğeleri"
"Please Select Products to Add","Eklenecek Ürünleri Seçiniz"
"Return items","İade Ürünleri"
Sub-items,Alt-ürünler
"Quantity To Return","Geri Dönüş Miktarı"
"Remaining Quantity:","Kalan Miktar:"
"New Return for Order %1","Sipariş için Yeni İade %1"
"Return Items Information","Ürünlerin iade bilgisi"
"Add Item To Return","İade için Ürün Ekle"
"Return #","İade #"
"Ship From","Gönderilen yer"
"Return Status","İade durumu"
"View Return","İadeyi Görüntüle"
"You have placed no returns.","Herhangi bir siparişiniz bulunmamaktadır."
Packages,Paketler
Package,Paket
Length,Uzunluk
"Total Weight","Toplam Ağırlık"
"Items in the Package","Paketteki Ürünler"
"Are you sure you want to delete this tracking information?","Bu izleme bilgilerini silmek istediğinizden emin misiniz?"
"Request Information","Bilgi İsteme"
"Date Requested","İstenen Tarih"
"Shipping and Tracking Information","Teslimat ve İzleme Bilgisi"
"Track this shipment","Kargoyu izle"
"Request Qty","Istenen miktar"
"Hide Details","Detayları Gizle"
"Show Details","Detayları Göster"
"Questions and Answers","Sorular ve cevaplar"
Questions,Sorular
Answers,Cevaplar
"Leave Comment","Yorum bırak"
"%store_name:  New customer comment","%store_name: Yeni müşteri yorumu"
"New Comment for RMA #%increment_id","RMA için yeni yorum #%increment_id"
"Customer %name has left a new comment:","Müşteri %name yeni yorum yaptı:"
"%store_name : New Return #%increment_id","%store_name : Yeni İade #%increment_id"
"Your return request has been updated. Please see below.","İade talebiniz güncellendi. Lütfen aşağıya bakın."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","<a href=""%account_url"">Hesabınıza giriş</a>yaparak veya <a href=""%form_url"">sipariş numaranızı kullanarak</a> iadenizin durumunu kontrol edebilirsiniz."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","Herhangi bir sorunuz varsa, lütfen bize yazmaktan <a href=""mailto:%support_email""> %support_email</a> veya %store_phone telefonla temas kurmaktan çekinmeyin"
